Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SP1,2001-10-20,Sociedad,Osasuna,2,1,H,0,1,A,1.87,3.25,3.5,2.0,2.9,3.4,1.83,3.4,3.5,,,,1.91,3.2,3.5,,,
SP1,2001-10-21,Espanol,Tenerife,2,0,H,2,0,H,1.8,3.25,4.0,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.73,3.2,4.33,1.8,3.3,3.75
SP1,2001-10-21,Mallorca,Vallecano,3,0,H,1,0,H,1.7,3.35,4.35,1.65,3.3,4.4,1.61,3.25,5.0,,,,1.67,3.25,4.5,1.66,3.3,4.5
SP1,2001-10-21,Real Madrid,Celta,1,1,D,1,1,D,1.6,3.35,5.1,1.6,3.4,4.6,1.61,3.25,5.0,,,,1.62,3.25,5.0,1.61,3.3,5.0
SP1,2001-10-21,Valencia,Zaragoza,2,0,H,1,0,H,1.47,3.8,5.75,1.45,3.8,5.4,1.44,3.6,6.5,,,,1.44,3.6,6.5,1.44,3.5,7.0
SP1,2001-10-21,Valladolid,Alaves,1,3,A,0,2,A,2.3,3.05,2.85,2.1,2.9,3.2,2.1,3.2,3.0,,,,2.25,3.2,2.75,2.25,3.2,2.75
SP1,2001-10-27,Barcelona,Betis,3,0,H,1,0,H,1.5,3.6,6.0,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.5,6.0,1.44,3.6,6.5,1.53,3.4,5.5
SP1,2001-10-27,Osasuna,Mallorca,4,0,H,2,0,H,2.25,3.1,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.2,3.25,2.75,,,
SP1,2001-10-27,Vallecano,La Coruna,2,1,H,0,0,D,3.6,3.25,1.9,3.5,3.1,1.9,4.33,3.2,1.73,3.9,3.2,1.8,3.5,3.2,1.91,3.6,3.3,1.83
SP1,2001-10-27,Tenerife,Sociedad,0,1,A,0,1,A,1.9,3.2,3.6,1.9,3.0,3.6,1.73,3.2,4.33,1.91,3.2,3.5,1.91,3.2,3.5,1.9,3.25,3.5
SP1,2001-10-27,Villarreal,Real Madrid,2,3,A,1,0,H,2.9,3.2,2.2,3.0,2.9,2.2,2.75,3.2,2.25,2.75,3.2,2.25,2.75,3.2,2.25,2.8,3.2,2.2
SP1,2001-10-28,Alaves,Las Palmas,1,0,H,1,0,H,1.65,3.3,4.6,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.4,4.33,1.67,3.4,4.33,1.66,3.3,4.5
SP1,2001-10-28,Ath Bilbao,Espanol,1,1,D,1,0,H,1.9,3.2,3.5,1.75,3.2,4.0,1.91,3.2,3.5,1.91,3.25,3.5,1.91,3.2,3.5,1.72,3.5,3.8
SP1,2001-10-28,Celta,Valladolid,1,1,D,0,0,D,1.41,3.7,7.0,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.0,1.4,3.75,7.0,1.4,3.75,7.0
SP1,2001-10-28,Sevilla,Valencia,1,1,D,0,1,A,2.75,3.1,2.3,2.7,2.9,2.4,2.8,2.87,2.37,2.7,3.1,2.3,2.6,3.0,2.5,2.75,3.1,2.3
SP1,2001-10-28,Zaragoza,Malaga,0,2,A,0,1,A,1.9,3.2,3.6,2.0,3.0,3.3,1.8,3.2,4.0,1.91,3.25,3.4,1.91,3.2,3.5,1.9,3.25,3.4
SP1,2001-11-03,Ath Bilbao,Alaves,2,1,H,2,0,H,2.3,3.0,2.87,2.2,2.9,3.0,2.25,3.2,2.75,2.4,3.0,2.7,2.38,3.0,2.75,2.2,3.1,2.87
SP1,2001-11-04,Betis,Zaragoza,0,1,A,0,0,D,1.7,3.3,4.4,1.75,3.2,4.0,1.73,3.2,4.33,1.67,3.25,4.8,1.67,3.25,4.5,1.61,3.3,5.0
SP1,2001-11-04,La Coruna,Osasuna,5,1,H,4,1,H,1.33,4.25,7.7,1.35,4.0,7.0,1.3,4.0,9.0,1.33,4.2,8.0,1.3,4.33,8.0,,,
SP1,2001-11-04,Espanol,Sociedad,1,2,A,1,1,D,1.73,3.3,4.25,1.85,3.1,3.6,1.73,3.2,4.33,1.8,3.2,4.0,1.8,3.25,3.75,1.83,3.4,3.5
SP1,2001-11-04,Las Palmas,Celta,4,2,H,3,1,H,2.72,2.95,2.45,2.5,3.0,2.5,2.6,3.2,2.37,2.7,3.1,2.38,2.8,3.0,2.3,2.7,3.0,2.37
SP1,2001-11-04,Malaga,Sevilla,1,3,A,1,1,D,1.95,3.1,3.55,1.9,3.0,3.6,1.8,3.25,3.75,1.95,3.1,3.5,1.91,3.2,3.5,1.83,3.2,3.75
SP1,2001-11-04,Mallorca,Tenerife,2,0,H,1,0,H,1.77,3.2,4.2,1.75,3.2,4.0,1.73,3.2,4.33,1.73,3.2,4.33,1.8,3.25,3.75,1.72,3.2,4.33
SP1,2001-11-04,Real Madrid,Barcelona,2,0,H,1,0,H,2.0,3.15,3.35,1.9,3.0,3.6,2.0,3.2,3.2,2.0,3.2,3.3,2.0,3.2,3.2,2.0,3.1,3.3
SP1,2001-11-04,Valencia,Vallecano,2,1,H,1,1,D,1.3,4.5,8.0,1.35,4.0,7.0,1.25,4.5,10.0,1.3,4.33,8.5,1.3,4.33,8.0,1.28,4.5,8.0
SP1,2001-11-04,Valladolid,Villarreal,1,0,H,1,0,H,2.15,3.2,3.0,2.0,3.0,3.3,2.2,3.2,2.8,2.2,3.1,2.9,2.25,3.2,2.75,2.2,3.25,2.75
SP1,2001-11-10,Sevilla,Betis,0,0,D,0,0,D,2.3,3.0,2.9,2.1,3.0,3.1,2.2,3.0,3.0,2.2,3.1,2.9,2.25,3.0,2.88,2.2,3.0,3.0
SP1,2001-11-11,Alaves,Espanol,2,1,H,1,1,D,1.71,3.25,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.62,3.3,5.0,1.67,3.25,4.5,1.61,3.3,5.0
SP1,2001-11-11,Barcelona,Valladolid,4,0,H,2,0,H,1.25,4.5,8.5,1.35,4.0,7.0,1.33,4.0,8.0,1.33,4.0,8.0,1.29,4.5,8.0,1.33,4.2,7.5
SP1,2001-11-11,Celta,Ath Bilbao,2,3,A,1,0,H,1.66,3.3,4.75,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.3,5.0,1.67,3.4,4.33,1.66,3.3,4.5
SP1,2001-11-11,Osasuna,Valencia,0,0,D,0,0,D,2.8,3.0,2.35,3.0,2.9,2.2,3.0,2.87,2.25,2.8,3.0,2.3,2.88,2.8,2.38,,,
SP1,2001-11-11,Sociedad,Mallorca,1,2,A,0,0,D,2.05,3.1,3.3,2.0,2.9,3.4,2.0,3.2,3.2,2.1,3.2,3.0,2.0,3.2,3.2,2.1,3.1,3.1
SP1,2001-11-11,Vallecano,Malaga,3,0,H,2,0,H,2.25,3.1,2.9,2.2,2.9,3.0,2.25,3.2,2.75,2.25,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75
SP1,2001-11-11,Tenerife,La Coruna,3,1,H,1,1,D,3.45,3.15,1.95,3.3,3.0,2.0,3.2,3.2,2.0,3.4,3.25,1.91,3.2,3.2,2.0,3.2,3.2,2.0
SP1,2001-11-11,Villarreal,Las Palmas,2,0,H,1,0,H,1.75,3.2,4.3,1.8,3.1,3.8,1.8,3.2,4.0,1.73,3.25,4.2,1.8,3.2,4.0,1.8,3.3,3.75
SP1,2001-11-11,Zaragoza,Real Madrid,2,1,H,1,0,H,3.6,3.2,1.9,3.3,3.0,2.0,3.5,3.2,1.91,3.3,3.1,2.0,3.2,3.2,2.0,3.4,3.25,1.9
