Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SP1,2000-12-02,Valladolid,Valencia,0,0,D,0,0,D,2.7,3.1,2.35,2.4,2.9,2.4,,,,2.8,3.1,2.25,2.75,3.1,2.3
SP1,2000-12-03,Alaves,Ath Bilbao,2,1,H,0,1,A,1.85,3.05,4.0,1.9,2.9,3.2,1.8,3.2,4.0,1.85,3.1,3.8,1.9,3.0,3.75
SP1,2000-12-03,Oviedo,Malaga,3,2,H,1,2,A,1.7,3.2,4.0,1.8,2.9,3.6,1.8,3.2,4.0,1.7,3.25,4.33,1.8,3.3,3.75
SP1,2000-12-03,Sociedad,Las Palmas,1,1,D,0,0,D,1.95,3.1,3.6,1.85,3.0,3.3,2.1,3.2,3.0,1.91,3.2,3.5,2.0,3.2,3.2
SP1,2000-12-03,Villarreal,Numancia,0,0,D,0,0,D,1.85,3.2,3.8,1.8,2.9,3.6,1.67,3.25,4.5,1.73,3.2,4.33,1.72,3.4,4.0
SP1,2000-12-03,Zaragoza,Mallorca,1,1,D,1,0,H,2.15,3.15,3.0,1.9,2.9,3.2,2.1,3.2,3.0,2.1,3.1,3.0,2.0,3.2,3.2
SP1,2000-12-09,Las Palmas,Villarreal,1,5,A,0,2,A,1.85,3.2,3.8,1.9,2.8,3.3,1.67,3.25,4.5,1.8,3.25,3.75,1.83,3.2,3.75
SP1,2000-12-09,Numancia,Zaragoza,1,1,D,1,1,D,2.35,3.0,2.75,2.2,2.8,2.8,2.62,2.87,2.5,2.3,3.0,2.8,2.2,3.0,3.0
SP1,2000-12-09,Valencia,Sociedad,2,0,H,0,0,D,1.33,4.2,7.6,1.4,3.6,5.5,1.36,3.75,8.0,1.33,4.0,8.0,1.36,3.75,8.0
SP1,2000-12-10,Ath Bilbao,Oviedo,4,0,H,0,0,D,1.7,3.25,4.45,1.7,3.1,3.8,1.67,3.25,4.5,1.67,3.25,4.5,1.66,3.3,4.5
SP1,2000-12-10,Barcelona,Espanol,4,2,H,2,0,H,1.47,3.45,6.55,1.55,3.3,4.5,1.44,3.75,6.0,1.44,3.6,6.5,1.44,3.5,7.0
SP1,2000-12-10,La Coruna,Vallecano,1,1,D,1,0,H,1.45,3.55,6.6,1.5,3.4,4.7,1.36,3.75,8.0,1.44,3.5,7.0,1.44,3.5,7.0
SP1,2000-12-10,Malaga,Valladolid,3,1,H,1,0,H,1.95,3.15,3.45,1.9,2.8,3.3,1.73,3.2,4.33,1.8,3.1,4.0,1.9,3.2,3.5
SP1,2000-12-10,Mallorca,Osasuna,1,1,D,0,1,A,1.45,3.6,6.6,1.45,3.5,5.0,1.36,3.75,8.0,1.4,3.75,7.0,,,
SP1,2000-12-10,Real Madrid,Celta,3,0,H,2,0,H,1.4,3.8,7.0,1.4,3.6,5.5,1.36,4.0,7.0,1.4,3.75,7.0,1.36,3.75,8.0
SP1,2000-12-10,Santander,Alaves,2,1,H,0,0,D,2.4,3.0,2.7,2.3,2.7,2.7,2.5,2.87,2.62,2.4,3.0,2.63,2.4,3.1,2.6
SP1,2000-12-16,Alaves,La Coruna,3,1,H,2,1,H,2.5,2.9,2.7,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.1,2.5,2.62,3.1,2.37
SP1,2000-12-16,Espanol,Real Madrid,1,2,A,1,2,A,3.1,2.9,2.2,3.0,2.9,2.0,3.0,3.2,2.1,3.25,3.2,2.0,3.0,3.2,2.1
SP1,2000-12-16,Sociedad,Villarreal,0,2,A,0,1,A,2.15,2.9,3.2,1.85,3.0,3.3,2.1,3.2,3.0,2.1,3.1,3.1,2.1,3.2,2.95
SP1,2000-12-16,Vallecano,Barcelona,2,2,D,1,1,D,2.8,3.1,2.3,2.35,3.0,2.35,2.75,3.2,2.25,2.8,3.1,2.25,2.62,3.1,2.37
SP1,2000-12-16,Zaragoza,Las Palmas,3,1,H,0,0,D,1.75,3.2,4.0,1.6,3.2,4.2,1.8,3.25,3.75,1.62,3.3,5.0,1.66,3.3,4.5
SP1,2000-12-17,Celta,Mallorca,2,2,D,1,1,D,1.9,3.0,3.8,1.8,3.0,3.5,2.0,3.0,3.4,1.91,3.2,3.5,1.9,3.25,3.4
