Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
SP1,2004-10-16,Espanol,Barcelona,0,1,A,0,1,A,4.5,3.25,1.83,3.95,3.4,1.8,4.35,3.35,1.82,4.2,3.1,1.75,4.0,3.2,1.8,4.33,3.4,1.75,4.33,3.2,1.72,1.79,1.9,1.95,1.85,2.45,1.5,0.25,2.1,1.74,0.5,2.1,1.8,0.5,,,,,
SP1,2004-10-16,La Coruna,Getafe,2,1,H,1,0,H,1.4,3.75,7.5,1.3,4.5,9.0,1.4,4.0,8.6,1.35,4.0,7.0,1.44,3.6,6.5,1.4,4.0,7.5,1.4,3.75,7.0,1.75,1.95,1.9,1.9,1.65,2.15,-1.0,1.9,1.94,-1.25,1.9,2.0,-1.25,,,,,
SP1,2004-10-17,Ath Bilbao,Malaga,1,0,H,1,0,H,1.8,3.25,4.0,1.85,3.2,4.0,1.85,3.3,4.25,1.8,3.1,3.8,1.83,3.2,3.75,1.85,3.25,4.0,1.8,3.1,4.0,1.85,1.85,2.05,1.75,1.55,2.3,-0.25,1.88,1.96,-0.5,1.925,1.975,-0.5,,,,,
SP1,2004-10-17,Ath Madrid,Santander,1,0,H,1,0,H,1.57,3.4,5.5,1.45,3.75,7.0,1.6,3.5,6.0,1.45,3.8,5.4,1.62,3.25,5.0,1.53,3.6,6.0,1.57,3.3,5.5,1.9,1.79,2.0,1.8,2.3,1.55,-1.25,2.08,1.76,-1.0,2.1,1.8,-1.0,,,,,
SP1,2004-10-17,Mallorca,Villarreal,1,1,D,1,1,D,2.37,3.2,2.62,2.45,3.1,2.7,2.55,3.1,2.75,2.5,3.0,2.5,2.38,3.0,2.75,2.38,3.2,2.75,2.3,3.1,2.75,1.9,1.79,2.1,1.7,2.2,1.6,-0.25,1.9,1.94,0.0,1.925,1.975,0.0,,,,,
SP1,2004-10-17,Numancia,Levante,1,3,A,0,1,A,2.2,3.0,3.1,2.25,3.1,3.0,2.3,3.1,3.1,2.3,2.8,2.9,2.2,3.2,2.8,2.25,3.1,3.0,2.15,3.1,3.0,2.0,1.71,2.1,1.7,1.67,2.1,0.0,2.08,1.76,-0.25,2.1,1.8,-0.25,,,,,
SP1,2004-10-17,Osasuna,Albacete,3,2,H,2,1,H,1.72,3.25,4.33,1.7,3.3,4.75,1.75,3.35,4.75,1.7,3.2,4.2,1.67,3.25,4.5,1.73,3.4,4.5,1.7,3.2,4.5,1.9,1.79,2.1,1.7,2.05,1.7,-0.75,2.1,1.74,-0.75,2.1,1.8,-0.75,,,,,
SP1,2004-10-17,Valencia,Sevilla,1,2,A,0,0,D,1.53,3.5,7.0,1.5,3.55,6.5,1.53,3.7,6.5,1.45,3.8,5.4,1.57,3.25,5.5,1.53,3.6,6.0,1.5,3.4,6.0,1.85,1.85,1.95,1.85,2.2,1.6,-1.25,1.96,1.88,-1.0,2.0,1.9,-1.0,,,,,
SP1,2004-10-17,Zaragoza,Sociedad,2,1,H,1,1,D,1.83,3.25,3.75,1.95,3.25,3.5,1.9,3.3,4.0,1.9,3.1,3.5,1.73,3.2,4.33,1.91,3.25,3.75,1.9,3.1,3.6,1.75,1.95,1.9,1.9,1.6,2.2,-0.25,2.0,1.84,-0.5,2.05,1.85,-0.5,,,,,
SP1,2004-10-23,Malaga,La Coruna,1,1,D,1,0,H,2.4,3.2,2.6,2.55,3.15,2.55,2.5,3.2,2.75,2.5,3.0,2.5,2.4,3.1,2.6,2.4,3.2,2.7,2.5,3.1,2.5,2.05,1.65,2.1,1.7,1.9,1.9,0.0,1.92,1.92,0.0,1.925,1.975,0.0,,,,,
