Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
F1,2000-11-04,St Etienne,Troyes,4,1,H,1,0,H,2.1,3.05,3.15,1.9,2.8,3.3,,,,2.05,3.1,3.25,1.9,3.15,3.5
F1,2000-11-04,Toulouse,Strasbourg,0,0,D,0,0,D,2.25,2.95,3.0,2.0,2.9,3.0,,,,2.2,3.0,3.0,2.15,3.0,3.1
F1,2000-11-10,St Etienne,Monaco,1,0,H,1,0,H,2.5,2.8,2.7,2.2,2.9,2.7,,,,2.5,3.0,2.6,2.3,2.9,2.9
F1,2000-11-11,Lille,Auxerre,1,1,D,0,0,D,1.95,2.8,3.8,1.9,2.8,3.3,,,,2.0,3.0,3.5,1.95,3.15,3.4
F1,2000-11-11,Metz,Guingamp,1,1,D,1,0,H,2.0,3.1,3.35,1.8,2.9,3.6,,,,1.95,3.2,3.4,1.9,3.25,3.3
F1,2000-11-11,Paris SG,Lyon,1,1,D,1,1,D,1.67,3.1,4.8,1.7,3.1,3.8,,,,1.67,3.25,4.75,1.72,3.2,4.33
F1,2000-11-11,Rennes,Toulouse,1,1,D,1,1,D,1.6,3.4,4.8,1.5,3.4,4.7,,,,1.55,3.4,5.6,1.55,3.4,5.5
F1,2000-11-11,Sedan,Marseille,2,0,H,0,0,D,1.8,3.2,3.8,1.75,3.1,3.6,,,,1.75,3.4,4.0,1.3,3.3,3.75
F1,2000-11-11,Troyes,Lens,1,0,H,1,0,H,2.05,2.8,3.6,2.2,2.8,2.8,,,,2.1,3.1,3.2,2.1,3.0,3.0
F1,2000-11-12,Strasbourg,Bordeaux,0,2,A,0,0,D,2.8,3.0,2.3,2.9,2.9,2.1,,,,3.0,3.1,2.2,2.8,3.2,2.2
F1,2000-11-17,Marseille,Metz,4,1,H,2,1,H,1.85,3.1,4.0,1.8,2.8,3.8,,,,1.83,3.25,3.75,1.8,3.3,3.75
F1,2000-11-18,Guingamp,Bastia,1,0,H,1,0,H,2.0,2.95,3.6,1.9,2.8,3.3,,,,1.9,3.1,3.75,1.9,3.1,3.6
F1,2000-11-18,Lens,St Etienne,0,0,D,0,0,D,1.85,3.1,4.0,1.85,2.8,3.6,,,,1.8,3.2,4.0,2.0,3.0,3.4
F1,2000-11-18,Lyon,Lille,0,1,A,0,0,D,1.75,3.1,4.2,1.8,2.9,3.6,,,,1.73,3.2,4.33,1.66,3.3,4.5
F1,2000-11-18,Monaco,Paris SG,2,0,H,2,0,H,2.2,3.1,2.8,2.1,2.9,2.9,,,,2.05,3.1,3.2,2.37,2.9,2.8
F1,2000-11-18,Nantes,Troyes,4,0,H,4,0,H,1.85,3.0,3.85,1.8,2.9,3.6,,,,1.8,3.2,4.0,1.8,3.25,3.8
F1,2000-11-18,Toulouse,Sedan,2,0,H,1,0,H,2.8,3.0,2.3,2.8,2.8,2.2,,,,2.88,3.0,2.25,2.75,2.9,2.4
F1,2000-11-19,Auxerre,Strasbourg,1,2,A,1,0,H,1.65,3.25,4.8,1.55,3.3,4.5,,,,1.57,3.3,5.5,1.57,3.25,5.5
F1,2000-11-19,Bordeaux,Rennes,3,0,H,1,0,H,1.55,3.4,5.8,1.55,3.2,4.8,,,,1.5,3.5,6.0,1.57,3.25,5.5
F1,2000-11-25,Bastia,Marseille,3,0,H,1,0,H,1.9,3.1,3.5,1.9,2.9,3.2,,,,1.9,3.1,3.6,1.83,3.3,3.6
F1,2000-11-25,Lens,Monaco,4,3,H,2,1,H,2.25,3.05,2.95,2.2,2.8,2.8,,,,2.25,3.0,2.9,2.3,3.1,2.75
F1,2000-11-25,Metz,Toulouse,1,1,D,0,1,A,1.66,3.3,4.6,1.55,3.2,4.8,,,,1.67,3.25,4.6,1.65,3.35,4.5
F1,2000-11-25,Rennes,Auxerre,0,1,A,0,0,D,2.05,3.15,3.25,2.0,2.7,3.2,,,,2.0,3.1,3.3,1.95,3.1,3.5
F1,2000-11-25,Strasbourg,Lyon,0,3,A,0,2,A,2.7,2.9,2.45,2.4,2.9,2.4,,,,2.63,2.9,2.5,2.5,3.0,2.55
F1,2000-11-25,Troyes,Guingamp,0,1,A,0,1,A,2.05,3.0,3.4,2.0,2.7,3.2,,,,2.05,2.9,3.4,2.0,3.1,3.3
F1,2000-11-26,Sedan,Bordeaux,0,0,D,0,0,D,2.35,3.05,2.75,2.3,2.8,2.6,,,,2.3,3.0,2.8,2.37,3.1,2.62
F1,2000-11-26,St Etienne,Nantes,0,2,A,0,0,D,2.1,3.1,3.2,2.0,2.8,3.1,,,,2.0,3.0,3.4,1.83,3.2,3.75
F1,2000-11-28,Guingamp,Lens,0,1,A,0,0,D,1.9,3.2,3.55,2.0,2.7,3.2,,,,2.0,3.1,3.3,1.95,3.2,3.35
F1,2000-11-28,Paris SG,Rennes,0,1,A,0,1,A,1.4,3.55,6.6,1.4,3.6,5.5,,,,1.44,3.6,6.5,1.44,3.6,6.5
