Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
I1,2001-10-21,Venezia,Lazio,0,0,D,0,0,D,3.4,3.0,2.05,3.6,3.0,1.9,4.0,3.0,1.83,,,,3.2,3.0,2.1,3.6,2.9,2.0
I1,2001-10-27,Juventus,Inter,0,0,D,0,0,D,2.0,3.05,3.45,2.0,2.9,3.4,,,,2.0,3.1,3.3,1.91,3.0,3.75,1.9,3.1,3.6
I1,2001-10-27,Roma,Lazio,2,0,H,0,0,D,2.2,3.0,3.05,2.1,2.9,3.2,,,,2.2,3.1,2.9,2.2,3.0,3.0,2.2,2.87,3.1
I1,2001-10-28,Brescia,Venezia,3,2,H,0,0,D,1.63,3.2,5.25,1.55,3.4,5.0,1.67,3.2,5.0,1.67,3.2,4.75,1.57,3.25,5.5,1.66,3.1,5.0
I1,2001-10-28,Chievo,Torino,3,0,H,1,0,H,1.68,3.15,4.9,1.8,3.0,4.0,1.73,3.2,4.33,1.73,3.1,4.5,1.73,3.2,4.33,1.66,2.9,5.5
I1,2001-10-28,Lecce,Atalanta,0,2,A,0,1,A,1.83,3.05,4.15,1.85,3.0,3.8,1.73,2.87,5.0,1.83,3.1,4.0,1.83,2.88,4.33,1.8,2.9,4.5
I1,2001-10-28,Milan,Bologna,0,0,D,0,0,D,1.45,3.6,6.5,1.4,3.7,6.4,1.4,3.75,7.0,1.44,3.6,6.5,1.4,3.75,7.0,1.44,3.5,7.0
I1,2001-10-28,Parma,Verona,2,2,D,1,2,A,1.6,3.25,5.4,1.6,3.2,5.0,1.61,3.25,5.0,1.6,3.3,5.0,1.57,3.25,5.5,1.61,3.1,5.5
I1,2001-10-28,Perugia,Piacenza,1,0,H,0,0,D,1.93,3.0,3.75,1.85,3.0,3.8,1.91,3.0,3.75,1.85,3.1,3.8,2.0,2.8,3.75,1.9,2.87,4.0
I1,2001-10-28,Udinese,Fiorentina,1,2,A,1,0,H,1.68,3.5,4.2,1.85,3.0,3.8,1.8,3.2,4.0,1.8,3.1,4.2,1.8,3.1,4.0,1.72,3.25,4.2
I1,2001-11-03,Venezia,Chievo,0,0,D,0,0,D,2.7,3.0,2.3,2.6,2.8,2.6,,,,2.75,3.0,2.4,2.75,2.88,2.4,2.75,2.9,2.4
I1,2001-11-04,Atalanta,Roma,1,1,D,0,0,D,3.65,3.05,1.95,3.4,2.9,2.0,3.75,3.0,1.91,3.4,3.1,2.0,3.75,3.0,1.91,3.6,2.87,2.0
I1,2001-11-04,Bologna,Fiorentina,3,2,H,3,2,H,1.7,3.2,4.65,1.8,3.1,3.8,1.73,2.87,5.0,1.73,3.1,4.6,1.73,3.2,4.33,1.72,3.1,4.5
I1,2001-11-04,Inter,Lecce,2,0,H,2,0,H,1.3,4.35,8.5,1.35,4.0,7.0,1.25,4.5,10.0,1.3,4.33,8.5,1.29,4.33,8.5,1.28,4.33,8.5
I1,2001-11-04,Lazio,Brescia,5,0,H,3,0,H,1.5,3.55,6.0,1.65,3.2,4.6,1.53,3.25,6.0,1.57,3.3,5.6,1.53,3.25,6.0,1.61,3.1,5.5
I1,2001-11-04,Parma,Perugia,2,1,H,1,0,H,1.6,3.3,5.3,1.55,3.4,5.0,1.61,3.2,5.5,1.62,3.25,5.25,1.62,3.1,5.5,1.61,3.1,5.5
I1,2001-11-04,Piacenza,Udinese,1,2,A,0,1,A,2.2,2.9,3.15,2.1,2.9,3.2,2.2,3.2,2.8,2.2,2.88,3.2,2.2,2.8,3.2,2.2,3.0,3.0
I1,2001-11-04,Torino,Milan,1,0,H,1,0,H,3.3,3.1,2.05,3.6,3.0,1.9,3.4,2.8,2.1,3.3,3.1,2.05,3.2,3.0,2.1,3.5,2.75,2.1
I1,2001-11-04,Verona,Juventus,2,2,D,1,0,H,3.75,3.1,1.91,3.2,2.9,2.1,4.0,2.87,1.91,3.75,3.0,1.91,3.75,3.0,1.91,3.6,2.87,2.0
I1,2001-11-17,Roma,Inter,0,0,D,0,0,D,1.91,3.0,3.8,2.0,2.9,3.4,,,,2.05,2.88,3.5,1.91,3.0,3.75,2.1,2.75,3.5
I1,2001-11-18,Atalanta,Venezia,1,0,H,1,0,H,1.65,3.25,5.0,1.7,3.2,4.2,,,,1.67,3.1,5.0,1.73,3.1,4.5,1.66,3.1,5.0
I1,2001-11-18,Fiorentina,Torino,0,0,D,0,0,D,2.02,2.9,3.4,1.9,3.0,3.6,,,,1.8,3.1,4.0,1.83,3.0,4.0,2.0,2.87,3.6
I1,2001-11-18,Juventus,Parma,3,1,H,1,1,D,1.55,3.3,6.0,1.6,3.3,4.8,,,,1.6,3.2,5.5,1.53,3.25,6.0,1.61,3.25,5.0
I1,2001-11-18,Lecce,Bologna,1,0,H,1,0,H,2.35,2.8,3.0,2.3,2.8,2.9,,,,2.4,2.88,2.8,2.38,2.8,2.88,2.37,2.8,2.87
I1,2001-11-18,Milan,Piacenza,0,0,D,0,0,D,1.3,4.4,8.5,1.3,4.2,8.0,,,,1.29,4.33,8.5,1.25,4.5,10.0,1.28,4.5,8.0
I1,2001-11-18,Perugia,Brescia,1,1,D,1,1,D,2.15,2.9,3.27,1.9,3.0,3.6,,,,2.2,2.9,3.1,2.1,2.8,3.4,2.1,2.87,3.3
I1,2001-11-18,Udinese,Lazio,1,4,A,0,0,D,2.85,3.0,2.32,2.8,2.9,2.3,,,,2.7,2.88,2.5,2.8,2.88,2.38,2.7,2.8,2.5
I1,2001-11-18,Verona,Chievo,3,2,H,1,2,A,2.55,2.8,2.75,2.1,2.9,3.2,,,,2.4,2.88,2.75,2.5,2.8,2.75,2.5,2.75,2.75
I1,2001-11-24,Lazio,Juventus,1,0,H,0,0,D,,,,2.2,2.9,3.0,,,,2.5,2.75,3.0,2.38,2.8,2.88,2.4,2.75,2.9
I1,2001-11-25,Bologna,Roma,1,3,A,1,3,A,2.85,2.9,2.4,2.6,2.8,2.6,,,,2.88,2.88,2.38,2.9,2.88,2.3,2.9,2.62,2.5
I1,2001-11-25,Brescia,Udinese,2,0,H,2,0,H,2.1,2.95,3.3,2.1,2.9,3.2,,,,2.1,3.0,3.25,2.1,3.0,3.2,2.1,3.0,3.2
I1,2001-11-25,Chievo,Perugia,2,0,H,1,0,H,1.68,3.1,5.1,1.8,3.1,3.8,,,,1.7,3.2,4.6,1.67,3.1,5.0,1.66,3.1,5.0
I1,2001-11-25,Inter,Fiorentina,2,0,H,1,0,H,1.34,4.0,8.0,1.45,3.8,5.4,,,,1.4,3.75,7.0,1.36,4.0,7.0,1.33,4.0,8.0
I1,2001-11-25,Parma,Milan,0,1,A,0,1,A,2.5,2.85,2.75,2.3,2.8,2.9,,,,2.5,2.9,2.7,2.5,2.8,2.7,2.5,2.75,2.75
I1,2001-11-25,Piacenza,Atalanta,1,2,A,1,0,H,2.15,2.9,3.3,2.1,2.8,3.3,,,,2.2,3.0,3.0,2.2,2.8,3.2,2.2,2.7,3.3
I1,2001-11-25,Torino,Verona,5,1,H,0,1,A,2.15,2.9,3.3,2.1,2.8,3.3,,,,2.1,3.0,3.25,2.1,2.9,3.25,2.2,2.75,3.25
I1,2001-11-25,Venezia,Lecce,1,1,D,0,0,D,2.15,2.95,3.2,2.3,2.7,3.0,,,,2.2,2.88,3.2,2.25,2.88,3.0,2.25,2.75,3.2
I1,2001-12-01,Juventus,Perugia,2,0,H,0,0,D,1.27,4.6,9.0,1.3,4.2,8.0,1.3,4.0,10.0,1.3,4.0,9.5,1.29,4.33,8.5,1.25,4.5,10.0
I1,2001-12-02,Atalanta,Inter,2,4,A,2,1,H,3.2,2.9,2.17,3.0,2.9,2.2,3.2,2.8,2.2,3.0,2.9,2.25,3.3,2.88,2.1,3.25,2.75,2.2
I1,2001-12-02,Bologna,Torino,1,0,H,1,0,H,1.77,3.1,4.4,1.85,3.0,3.8,1.83,2.8,4.5,1.8,2.9,4.5,1.73,3.1,4.5,1.8,3.1,4.0
I1,2001-12-02,Fiorentina,Piacenza,1,3,A,0,1,A,1.85,3.05,4.15,1.8,3.1,3.8,1.8,2.87,4.5,1.8,3.0,4.2,1.8,3.0,4.33,1.83,2.87,4.33
I1,2001-12-02,Lecce,Lazio,1,2,A,0,0,D,3.4,3.0,2.05,3.2,2.9,2.1,3.0,3.0,2.2,3.2,3.0,2.1,3.6,2.88,2.0,3.25,2.75,2.2
I1,2001-12-02,Milan,Chievo,3,2,H,1,2,A,1.55,3.4,5.6,1.55,3.4,5.0,1.53,3.5,5.5,1.5,3.5,6.0,1.53,3.4,5.5,1.5,3.25,6.5
I1,2001-12-02,Roma,Venezia,1,0,H,0,0,D,1.19,5.5,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.22,5.0,10.0,1.17,5.5,12.0,1.16,5.0,15.0
I1,2001-12-02,Udinese,Parma,3,2,H,2,2,D,2.4,2.9,2.9,2.3,2.9,2.8,2.37,2.87,2.8,2.4,2.88,2.8,2.4,2.88,2.75,2.37,2.9,2.8
I1,2001-12-02,Verona,Brescia,2,0,H,1,0,H,2.1,2.9,3.4,2.0,2.9,3.4,2.0,3.0,3.4,2.1,2.9,3.3,2.1,2.88,3.3,2.1,2.75,3.5
I1,2001-12-08,Piacenza,Bologna,2,0,H,0,0,D,2.3,2.9,2.95,2.3,2.7,3.0,2.37,2.8,2.87,2.38,2.88,2.88,2.3,2.88,2.9,2.4,2.8,2.87
I1,2001-12-09,Brescia,Inter,1,3,A,1,1,D,3.55,3.0,2.0,3.2,2.9,2.1,3.6,2.87,2.0,3.5,3.0,2.0,3.4,2.8,2.1,3.75,3.0,1.9
I1,2001-12-09,Chievo,Lecce,2,1,H,1,0,H,1.6,3.25,5.4,1.7,3.2,4.2,1.61,3.25,5.0,1.62,3.25,5.0,1.62,3.25,5.0,1.61,3.3,5.0
I1,2001-12-09,Lazio,Fiorentina,3,0,H,1,0,H,1.26,4.65,9.25,1.3,4.2,8.0,1.3,4.0,9.0,1.25,4.5,10.0,1.29,4.33,8.5,1.25,4.5,10.0
