Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
D1,2003-10-04,Stuttgart,FC Koln,0,0,D,0,0,D,20,5,9,14,9,1,1,0,0,0,1.33,4.33,7.5,1.41,4.0,7.5,1.4,3.9,6.0,1.333,4.0,8.0,1.4,3.75,7.5,1.4,3.75,7.5,1.33,4.0,8.0,1.71,2.0,1.72,2.0,1.9,1.9,-1.5,1.85,2.0,-1.5,1.95,1.95,-1.5,,,,,
D1,2003-10-05,Leverkusen,Hansa Rostock,3,0,H,0,0,D,28,5,15,25,9,4,4,4,0,0,1.44,3.75,6.5,1.45,3.85,6.75,1.45,3.8,5.4,1.4,4.0,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.6,6.5,1.6,2.15,1.61,2.2,1.85,1.95,-1.25,2.05,1.8,-1.5,1.85,2.05,-1.25,,,,,
D1,2003-10-05,Werder Bremen,Wolfsburg,5,3,H,3,1,H,12,11,23,17,2,4,1,3,0,0,1.72,3.25,4.33,1.85,3.3,4.0,1.9,3.1,3.5,1.727,3.4,4.0,1.73,3.4,4.0,1.75,3.4,4.0,1.8,3.3,3.75,1.6,2.15,1.66,2.1,1.85,1.95,-0.5,1.8,2.05,-0.5,1.8,2.1,-0.5,,,,,
D1,2003-10-18,Dortmund,Hannover,6,2,H,2,0,H,13,12,17,18,4,8,1,2,0,0,1.53,3.5,5.5,1.55,3.6,5.75,1.5,3.7,5.0,1.5,3.6,5.5,1.5,3.5,6.0,1.5,3.5,6.0,1.4,3.75,7.0,1.6,2.15,1.72,2.0,1.8,2.0,-0.75,1.8,2.05,-0.75,1.825,2.075,-0.75,,,,,
D1,2003-10-18,FC Koln,Freiburg,1,0,H,0,0,D,12,5,25,16,6,5,1,2,0,0,2.3,3.2,2.7,2.25,3.3,2.85,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.2,2.75,2.3,3.2,2.7,2.37,3.1,2.62,1.65,2.05,1.72,2.0,2.0,1.83,-0.25,2.05,1.8,-0.25,2.075,1.825,-0.25,,,,,
D1,2003-10-18,Hertha,Leverkusen,1,4,A,0,1,A,11,15,20,21,4,4,4,1,1,1,2.4,3.2,2.6,2.45,3.25,2.65,2.3,3.0,2.7,2.4,3.25,2.5,2.38,3.2,2.62,2.4,3.2,2.6,2.5,3.1,2.5,1.65,2.05,1.66,2.1,1.8,2.05,0.0,1.8,2.05,0.0,1.875,2.025,0.0,,,,,
D1,2003-10-18,M'gladbach,Bayern Munich,0,0,D,0,0,D,17,16,18,23,10,6,1,1,0,0,5.0,3.6,1.57,5.5,3.5,1.6,4.2,3.2,1.7,5.0,3.25,1.615,5.0,3.4,1.62,5.0,3.4,1.61,5.0,3.3,1.61,1.65,2.05,1.7,2.05,1.85,1.95,1.0,1.85,2.0,1.0,1.85,2.05,1.0,,,,,
D1,2003-10-18,Munich 1860,Ein Frankfurt,1,0,H,0,0,D,17,5,22,19,9,1,4,2,0,0,1.72,3.25,4.33,1.66,3.4,5.0,1.7,3.2,4.2,1.667,3.4,4.333,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.3,4.5,1.71,2.0,1.72,2.0,1.85,1.95,-0.75,1.8,2.05,-0.75,1.95,1.95,-0.75,,,,,
D1,2003-10-18,Werder Bremen,Stuttgart,1,3,A,0,2,A,19,10,23,25,7,2,4,4,0,0,2.2,3.25,2.8,2.12,3.35,3.05,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.1,3.1,1.75,1.95,1.8,1.9,1.9,1.9,-0.25,1.95,1.9,-0.25,1.95,1.95,-0.25,,,,,
D1,2003-10-18,Wolfsburg,Hansa Rostock,3,1,H,2,1,H,22,19,9,23,4,3,2,3,0,0,1.61,3.4,5.0,1.6,3.5,5.5,1.6,3.4,4.6,1.571,3.5,5.0,1.62,3.4,5.0,1.61,3.4,5.0,1.61,3.3,5.0,1.55,2.25,1.66,2.1,1.75,2.05,-0.75,2.0,1.85,-1.0,2.15,1.75,-1.0,,,,,
